strain,date,retail_and_recreation_percent_change_from_baseline,binned_mobility
USA/CA-SR0190/2020,2020-03-29,-50.0,25-50%
USA/CA-CZB-2467/2020,2020-05-18,-68.0,0-25%
USA/CA-CZB-2468/2020,2020-05-18,-68.0,0-25%
USA/CA-CZB-1118/2020,2020-04-29,-75.0,0-25%
USA/CA-CZB-1120/2020,2020-04-28,-73.0,0-25%
USA/CA-CZB-1117/2020,2020-04-29,-75.0,0-25%
USA/CA-CZB0713/2020,2020-03-22,-72.0,0-25%
USA/CA-CZB-1217/2020,2020-03-22,-62.0,0-25%
USA/CA-CZB-1210/2020,2020-03-24,-53.0,25-50%
USA/CA-SR0402/2020,2020-04-07,-51.0,25-50%
USA/CA-ALSR-0781-SAN/2020,2020-04-14,-45.0,50-75%
USA/CA-ALSR-1379/2020,2020-06-22,-32.0,75-100%
USA/CA-CZB-2159/2020,2020-05-20,-44.0,50-75%
USA/CA-CZB-2395/2020,2020-05-18,-48.0,25-50%
USA/CA-CZB-1882/2020,2020-04-27,-55.0,25-50%
USA/CA-CZB-2416/2020,2020-05-21,-44.0,50-75%
USA/CA-CZB-2213/2020,2020-05-27,-41.0,75-100%
USA/CA-CZB-2218/2020,2020-05-27,-41.0,75-100%
USA/CA-CZB-2209/2020,2020-05-26,-41.0,75-100%
USA/CA-CZB-2210/2020,2020-05-26,-41.0,75-100%
USA/CA-ALSR-0642-SAN/2020,2020-04-22,-57.0,0-25%
USA/CA-CZB-2339/2020,2020-05-11,-49.0,25-50%
USA/CA-CZB-1984/2020,2020-05-06,-49.0,25-50%
USA/CA-CZB-2162/2020,2020-05-21,-44.0,50-75%
USA/CA-CZB-2391/2020,2020-05-17,-49.0,25-50%
USA/CA-CZB-2194/2020,2020-05-26,-41.0,75-100%
USA/CA-CZB-2350/2020,2020-05-12,-47.0,50-75%
USA/CA-CZB-2208/2020,2020-05-26,-41.0,75-100%
USA/CA-CZB-2355/2020,2020-05-12,-47.0,50-75%
USA/CA-CZB-2196/2020,2020-05-26,-41.0,75-100%
USA/CA-CZB-2013/2020,2020-04-30,-52.0,25-50%
USA/CA-CZB-1986/2020,2020-04-28,-54.0,25-50%
USA/CA-CZB-1985/2020,2020-04-28,-54.0,25-50%
USA/CA-CZB-2205/2020,2020-05-26,-41.0,75-100%
USA/CA-CZB-2354/2020,2020-05-12,-47.0,50-75%
USA/CA-CZB-2011/2020,2020-04-30,-52.0,25-50%
USA/CA-CZB-2207/2020,2020-05-26,-41.0,75-100%
USA/CA-CZB-2353/2020,2020-05-12,-47.0,50-75%
USA/CA-CZB-2161/2020,2020-05-21,-44.0,50-75%
USA/CA-CZB-2347/2020,2020-05-12,-47.0,50-75%
USA/CA-CZB-2184/2020,2020-05-25,-45.0,50-75%
USA/CA-CZB-2417/2020,2020-05-21,-44.0,50-75%
USA/CA-CZB-2206/2020,2020-05-26,-41.0,75-100%
USA/CA-CZB-1970/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-2400/2020,2020-05-19,-44.0,50-75%
USA/CA-CZB-2164/2020,2020-05-21,-44.0,50-75%
USA/CA-CZB-2195/2020,2020-05-26,-41.0,75-100%
USA/CA-CZB-2212/2020,2020-05-27,-41.0,75-100%
USA/CA-CZB-2397/2020,2020-05-18,-48.0,25-50%
USA/CA-CZB-1881/2020,2020-04-27,-55.0,25-50%
USA/CA-CZB-2357/2020,2020-05-12,-47.0,50-75%
USA/CA-CZB-2346/2020,2020-05-12,-47.0,50-75%
USA/CA-CZB-2356/2020,2020-05-12,-47.0,50-75%
USA/CA-CZB-2344/2020,2020-05-12,-47.0,50-75%
USA/CA-SR0381/2020,2020-04-02,-44.0,50-75%
USA/CA-IGI-0093/2020,2020-06-07,-53.0,25-50%
USA/CA-IGI-0057/2020,2020-05-19,-51.0,25-50%
USA/CA-IGI-0058/2020,2020-05-19,-51.0,25-50%
USA/CA-IGI-0129/2020,2020-06-02,-53.0,25-50%
USA/CA-IGI-0115/2020,2020-06-02,-53.0,25-50%
USA/CA-IGI-0105/2020,2020-06-02,-53.0,25-50%
USA/CA-IGI-0068/2020,2020-05-28,-48.0,25-50%
USA/CA-IGI-0072/2020,2020-05-28,-48.0,25-50%
USA/CA-CZB-2466/2020,2020-05-18,-68.0,0-25%
USA/CA-CZB-2450/2020,2020-05-21,-67.0,0-25%
USA/CA-CZB-2454/2020,2020-05-21,-67.0,0-25%
USA/CA-ALSR-0609-SAN/2020,2020-04-18,-62.0,0-25%
USA/CA-ALSR-1012-SAN/2020,2020-04-18,-62.0,0-25%
USA/CA-ALSR-1123/2020,2020-04-27,-56.0,0-25%
USA/CA-SR0362/2020,2020-04-14,-45.0,50-75%
USA/CA-SR0261/2020,2020-04-27,-56.0,0-25%
USA/CA-ALSR-0833-SAN/2020,2020-04-08,-49.0,25-50%
USA/CA-ALSR-0522-SAN/2020,2020-04-08,-49.0,25-50%
USA/CA-CZB-1678/2020,2020-03-29,-48.0,25-50%
USA/CA-CZB-2409/2020,2020-05-20,-44.0,50-75%
USA/CA-IGI-0082/2020,2020-05-27,-48.0,25-50%
USA/CA-IGI-0114/2020,2020-05-25,-52.0,25-50%
USA/CA-IGI-0065/2020,2020-05-27,-48.0,25-50%
USA/CA-CZB-2470/2020,2020-05-18,-68.0,0-25%
USA/CA-IGI-0103/2020,2020-05-19,-51.0,25-50%
USA/CA-IGI-0097/2020,2020-06-04,-50.0,25-50%
USA/CA-CZB-2288/2020,2020-06-18,-45.0,50-75%
USA/CA-CZB-2278/2020,2020-06-17,-46.0,50-75%
USA/CA-IGI-0074/2020,2020-06-07,-53.0,25-50%
USA/CA-IGI-0084/2020,2020-06-07,-53.0,25-50%
USA/CA-CZB-1398/2020,2020-04-18,-69.0,0-25%
USA/CA-ALSR-0470-SAN/2020,2020-04-09,-50.0,25-50%
USA/CA-CZB-1186/2020,2020-04-28,-73.0,0-25%
USA/CA-CZB-1193/2020,2020-04-28,-73.0,0-25%
USA/CA-CZB-1174/2020,2020-04-29,-75.0,0-25%
USA/CA-CZB-1106/2020,2020-04-29,-75.0,0-25%
USA/CA-CSMC75/2020,2020-04-02,-43.0,50-75%
USA/CA-SR0312/2020,2020-03-21,-49.0,25-50%
USA/CA-CSMC102/2020,2020-04-01,-41.0,75-100%
USA/CA-CSMC104/2020,2020-04-01,-41.0,75-100%
USA/CA-ALSR-1079-SAN/2020,2020-06-22,-32.0,75-100%
USA/CA-CZB-2522/2020,2020-04-30,-51.0,25-50%
USA/CA-CDPH023/2020,2020-04-22,-65.0,0-25%
USA/CA-CZB-2122/2020,2020-05-21,-51.0,25-50%
USA/CA-CZB-2132/2020,2020-05-21,-51.0,25-50%
USA/CA-IGI-0109/2020,2020-05-21,-49.0,25-50%
USA/CA-IGI-0126/2020,2020-05-21,-49.0,25-50%
USA/CA-CZB-2147/2020,2020-05-20,-51.0,25-50%
USA/CA-CZB-2126/2020,2020-05-21,-51.0,25-50%
USA/CA-CZB-2124/2020,2020-05-21,-51.0,25-50%
USA/CA-CZB-2131/2020,2020-05-21,-51.0,25-50%
USA/CA-CZB-2123/2020,2020-05-21,-51.0,25-50%
USA/CA-CZB-2130/2020,2020-05-21,-51.0,25-50%
USA/CA-CZB089/2020,2020-03-27,-72.0,0-25%
USA/CA-SCCPHD-UC164/2020,2020-03-11,-4.0,75-100%
USA/CA-SR0452/2020,2020-03-29,-50.0,25-50%
USA/CA-SR0401/2020,2020-04-13,-48.0,25-50%
USA/CA-ALSR-1223/2020,2020-04-09,-50.0,25-50%
USA/CA-ALSR-1670/2020,2020-04-01,-42.0,75-100%
USA/CA-ALSR-1164/2020,2020-04-04,-52.0,25-50%
USA/CA-ALSR-0817-SAN/2020,2020-03-30,-42.0,75-100%
USA/CA-CZB-1509/2020,2020-03-31,-43.0,50-75%
USA/CA-ALSR-1165/2020,2020-04-04,-52.0,25-50%
USA/CA-CZB-1283/2020,2020-04-01,-37.0,75-100%
USA/CA-SR0457/2020,2020-03-29,-50.0,25-50%
USA/CA-SR0458/2020,2020-04-01,-42.0,75-100%
USA/CA-CZB-1511/2020,2020-03-31,-43.0,50-75%
USA/CA-CZB-1507/2020,2020-03-31,-43.0,50-75%
USA/CA-ALSR-0813-SAN/2020,2020-03-30,-42.0,75-100%
USA/CA-SR0447/2020,2020-03-29,-50.0,25-50%
USA/CA-CZB-1612/2020,2020-04-08,-34.0,75-100%
USA/CA-CZB-1127/2020,2020-04-04,-79.0,0-25%
USA/CA-SR0461/2020,2020-03-29,-50.0,25-50%
USA/CA-CZB-1506/2020,2020-03-31,-43.0,50-75%
USA/CA-ALSR-1082-SAN/2020,2020-06-21,-34.0,75-100%
USA/CA-CZB-1613/2020,2020-04-10,-36.0,75-100%
USA/CA-ALSR-0953-SAN/2020,2020-03-28,-50.0,25-50%
USA/CA-SR0388/2020,2020-04-09,-50.0,25-50%
USA/CA-ALSR-1135/2020,2020-04-15,-48.0,25-50%
USA/CA-SR0374/2020,2020-04-10,-56.0,0-25%
USA/CA-CZB-1505/2020,2020-03-29,-48.0,25-50%
USA/CA-CDPH011/2020,2020-03-29,-41.0,75-100%
USA/CA-UW-869/2020,2020-07-07,-31.0,75-100%
USA/CA-PC101P/2020,2020-03-10,-4.0,75-100%
USA/CA-SR0187/2020,2020-03-24,-43.0,50-75%
USA/CA-SR0180/2020,2020-03-25,-44.0,50-75%
USA/CA-ALSR-1382/2020,2020-03-11,2.0,75-100%
USA/CA-CZB-1761/2020,2020-03-13,-9.0,75-100%
USA/CA-CZB-1128/2020,2020-04-04,-79.0,0-25%
USA/CA-CDPH006/2020,2020-03-23,-42.0,75-100%
USA/CA-CZB-1279/2020,2020-03-27,-46.0,50-75%
USA/CA-CZB-1498/2020,2020-03-26,-43.0,50-75%
USA/CA-CZB-1502/2020,2020-03-29,-48.0,25-50%
USA/CA-OHSU-0690/2020,2020-06-16,-18.0,75-100%
USA/CA-SR0181/2020,2020-03-23,-43.0,50-75%
USA/CA-CZB-1490/2020,2020-03-23,-43.0,50-75%
USA/CA-CSMC23/2020,2020-03-24,-43.0,50-75%
USA/CA-CZB-2067/2020,2020-04-26,-45.0,50-75%
USA/CA-CZB-2071/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2057/2020,2020-04-21,-41.0,75-100%
USA/CA-CZB-1624/2020,2020-05-06,-34.0,75-100%
USA/CA-CZB-2084/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2066/2020,2020-04-24,-44.0,50-75%
USA/CA-CZB-2063/2020,2020-04-21,-41.0,75-100%
USA/CA-CZB-2091/2020,2020-05-06,-34.0,75-100%
USA/CA-CZB-2064/2020,2020-04-23,-42.0,75-100%
USA/CA-CZB-2051/2020,2020-04-21,-41.0,75-100%
USA/CA-CZB-2069/2020,2020-04-29,-36.0,75-100%
USA/CA-CZB-2061/2020,2020-04-21,-41.0,75-100%
USA/CA-CZB-2058/2020,2020-04-21,-41.0,75-100%
USA/CA-CZB-2062/2020,2020-04-21,-41.0,75-100%
USA/CA-CZB-2054/2020,2020-04-21,-41.0,75-100%
USA/CA-CZB-2081/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2078/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2065/2020,2020-04-24,-44.0,50-75%
USA/CA-CZB-2077/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2085/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2082/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2068/2020,2020-04-26,-45.0,50-75%
USA/CA-CZB-2088/2020,2020-05-05,-31.0,75-100%
USA/CA-CZB-2070/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2059/2020,2020-04-21,-41.0,75-100%
USA/CA-CZB-2056/2020,2020-04-21,-41.0,75-100%
USA/CA-CZB-2087/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2073/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2060/2020,2020-04-21,-41.0,75-100%
USA/CA-CZB-2052/2020,2020-04-21,-41.0,75-100%
USA/CA-CZB-2080/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2090/2020,2020-05-06,-34.0,75-100%
USA/CA-CZB-2086/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2053/2020,2020-04-21,-41.0,75-100%
USA/CA-CZB-2092/2020,2020-05-08,-35.0,75-100%
USA/CA-CZB-2083/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2074/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2072/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2076/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2079/2020,2020-05-03,-36.0,75-100%
USA/CA-CZB-2075/2020,2020-05-03,-36.0,75-100%
USA/CA-ALSR-0715-SAN/2020,2020-03-27,-45.0,50-75%
USA/CA-CZB-2048/2020,2020-04-18,-48.0,25-50%
USA/CA-SR0444/2020,2020-03-17,-24.0,75-100%
USA/CA-CZB-1826/2020,2020-04-23,-57.0,0-25%
USA/CA-CZB-1832/2020,2020-04-23,-57.0,0-25%
USA/CA-CZB-1830/2020,2020-04-23,-57.0,0-25%
USA/CA-CZB-1824/2020,2020-04-23,-57.0,0-25%
USA/CA-CZB-1825/2020,2020-04-23,-57.0,0-25%
USA/CA-CZB-1823/2020,2020-04-23,-57.0,0-25%
USA/CA-CZB-1848/2020,2020-04-26,-60.0,0-25%
USA/CA-CZB-1827/2020,2020-04-23,-57.0,0-25%
USA/CA-CZB-2201/2020,2020-05-26,-41.0,75-100%
USA/CA-CZB-2203/2020,2020-05-26,-41.0,75-100%
USA/CA-CZB-1833/2020,2020-04-23,-57.0,0-25%
USA/CA-CZB-2387/2020,2020-05-17,-49.0,25-50%
USA/CA-CZB-2386/2020,2020-05-17,-49.0,25-50%
USA/CA-CZB-1829/2020,2020-04-23,-57.0,0-25%
USA/CA-CZB-1828/2020,2020-04-23,-57.0,0-25%
USA/CA-CZB-1928/2020,2020-04-23,-57.0,0-25%
USA/CA-CZB-1835/2020,2020-04-23,-57.0,0-25%
USA/CA-CZB-2197/2020,2020-05-26,-41.0,75-100%
USA/CA-CZB-1668/2020,2020-05-13,-47.0,50-75%
USA/CA-CZB-1672/2020,2020-05-13,-47.0,50-75%
USA/CA-CZB-2199/2020,2020-05-26,-41.0,75-100%
USA/CA-CZB-2388/2020,2020-05-17,-49.0,25-50%
USA/CA-CZB-2345/2020,2020-05-12,-47.0,50-75%
USA/CA-CZB-2198/2020,2020-05-26,-41.0,75-100%
USA/CA-CZB-2020/2020,2020-05-02,-54.0,25-50%
USA/CA-CZB-2378/2020,2020-05-14,-48.0,25-50%
USA/CA-CZB-1949/2020,2020-05-04,-49.0,25-50%
USA/CA-CZB-2401/2020,2020-05-19,-44.0,50-75%
USA/CA-CZB-2202/2020,2020-05-26,-41.0,75-100%
USA/CA-CZB-2167/2020,2020-05-22,-45.0,50-75%
USA/CA-CZB-1669/2020,2020-05-13,-47.0,50-75%
USA/CA-CZB-1671/2020,2020-05-13,-47.0,50-75%
USA/CA-CZB-1971/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-1667/2020,2020-05-13,-47.0,50-75%
USA/CA-CZB-1666/2020,2020-05-13,-47.0,50-75%
USA/CA-CZB-1670/2020,2020-05-13,-47.0,50-75%
USA/CA-SR0440/2020,2020-03-26,-45.0,50-75%
USA/CA-ALSR-0605-IPL/2020,2020-04-16,-52.0,25-50%
USA/CA-ALSR-0466-IPL/2020,2020-03-25,-46.0,50-75%
USA/CA-ALSR-0681-IPL/2020,2020-05-15,-47.0,50-75%
USA/CA-ALSR-1035-IPL/2020,2020-04-20,-49.0,25-50%
USA/CA-ALSR-0624-IPL/2020,2020-04-20,-49.0,25-50%
USA/CA-ALSR-0932-IPL/2020,2020-04-27,-47.0,50-75%
USA/CA-CDPH031/2020,2020-06-21,-22.0,75-100%
USA/CA-ALSR-0658-IPL/2020,2020-04-17,-55.0,25-50%
USA/CA-ALSR-0501-IPL/2020,2020-04-14,-50.0,25-50%
USA/CA-ALSR-0765-IPL/2020,2020-04-14,-50.0,25-50%
USA/CA-ALSR-0551-IPL/2020,2020-05-06,-47.0,50-75%
USA/CA-ALSR-1783/2020,2020-05-15,-48.0,25-50%
USA/CA-ALSR-1759/2020,2020-05-15,-48.0,25-50%
USA/CA-ALSR-0756-IPL/2020,2020-05-12,-43.0,50-75%
USA/CA-ALSR-0755-IPL/2020,2020-05-12,-43.0,50-75%
USA/CA-ALSR-1854/2020,2020-05-18,-46.0,50-75%
USA/CA-IGI-0071/2020,2020-06-18,-44.0,50-75%
USA/CA-IGI-0087/2020,2020-06-10,-47.0,50-75%
USA/CA-ALSR-1087-SAN/2020,2020-06-01,-40.0,75-100%
USA/CA-ALSR-1269/2020,2020-05-03,-53.0,25-50%
USA/CA-ALSR-0996-IPL/2020,2020-04-22,-54.0,25-50%
USA/CA-ALSR-0629-IPL/2020,2020-04-22,-54.0,25-50%
USA/CA-ALSR-1002-SAN/2020,2020-04-19,-64.0,0-25%
USA/CA-ALSR-0612-SAN/2020,2020-04-19,-64.0,0-25%
USA/CA-CZB-1765/2020,2020-03-12,-4.0,75-100%
USA/CA-ALSR-1660/2020,2020-03-19,-31.0,75-100%
USA/CA-CZB-1206/2020,2020-03-23,-52.0,25-50%
USA/CA-CZB-2031/2020,2020-05-10,-50.0,25-50%
USA/CA-CZB-1857/2020,2020-04-26,-60.0,0-25%
USA/CA-CZB-1880/2020,2020-04-27,-55.0,25-50%
USA/CA-CZB-1838/2020,2020-04-27,-55.0,25-50%
USA/CA-CZB-1839/2020,2020-04-27,-55.0,25-50%
USA/CA-SR0398/2020,2020-04-28,-56.0,0-25%
USA/CA-ALSR-0776-SAN/2020,2020-04-10,-56.0,0-25%
USA/CA-CZB067/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB-1918/2020,2020-04-21,-56.0,0-25%
USA/CA-CZB-1200/2020,2020-03-24,-53.0,25-50%
USA/CA-ALSR-1907/2020,2020-04-22,-57.0,0-25%
USA/CA-ALSR-1022-SAN/2020,2020-04-15,-48.0,25-50%
USA/CA-ALSR-1763/2020,2020-05-20,-45.0,50-75%
USA/CA-ALSR-0543-SAN/2020,2020-05-03,-53.0,25-50%
USA/CA-ALSR-1818/2020,2020-05-19,-46.0,50-75%
USA/CA-ALSR-1279/2020,2020-04-29,-53.0,25-50%
USA/CA-ALSR-1261/2020,2020-05-04,-48.0,25-50%
USA/CA-SR0414/2020,2020-04-14,-45.0,50-75%
USA/CA-SR0223/2020,2020-04-21,-58.0,0-25%
USA/CA-ALSR-1141/2020,2020-04-15,-48.0,25-50%
USA/CA-UCSF-UC47/2020,2020-03-19,-66.0,0-25%
USA/CA-CZB085/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB-2175/2020,2020-05-24,-46.0,50-75%
USA/CA-CZB-1817/2020,2020-04-21,-56.0,0-25%
USA/CA-ALSR-1268/2020,2020-05-03,-53.0,25-50%
USA/CA-CZB-2414/2020,2020-05-21,-44.0,50-75%
USA/CA-CZB-2413/2020,2020-05-21,-44.0,50-75%
USA/CA-CZB-2219/2020,2020-05-28,-41.0,75-100%
USA/CA-ALSR-1525/2020,2020-05-11,-49.0,25-50%
USA/CA-SR0392/2020,2020-04-28,-56.0,0-25%
USA/CA-SR0360/2020,2020-04-28,-56.0,0-25%
USA/CA-ALSR-1551/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-1580/2020,2020-05-02,-52.0,25-50%
USA/CA-ALSR-1549/2020,2020-05-03,-53.0,25-50%
USA/CA-ALSR-1918/2020,2020-04-22,-57.0,0-25%
USA/CA-CZB-1526/2020,2020-05-04,-47.0,50-75%
USA/CA-SR0365/2020,2020-05-16,-50.0,25-50%
USA/CA-SR0225/2020,2020-04-05,-54.0,25-50%
USA/CA-ALSR-1833/2020,2020-05-27,-42.0,75-100%
USA/CA-CZB-1533/2020,2020-04-29,-52.0,25-50%
USA/CA-CZB-1529/2020,2020-05-01,-48.0,25-50%
USA/CA-ALSR-1192/2020,2020-04-27,-56.0,0-25%
USA/CA-ALSR-0724-IPL/2020,2020-05-03,-52.0,25-50%
USA/CA-ALSR-0553-IPL/2020,2020-05-03,-52.0,25-50%
USA/CA-ALSR-0674-IPL/2020,2020-04-30,-43.0,50-75%
USA/CA-ALSR-0548-IPL/2020,2020-05-03,-52.0,25-50%
USA/CA-ALSR-0722-SAN/2020,2020-05-03,-53.0,25-50%
USA/CA-ALSR-1273/2020,2020-05-10,-50.0,25-50%
USA/CA-ALSR-1097-SAN/2020,2020-06-17,-32.0,75-100%
USA/CA-ALSR-1631/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-1626/2020,2020-04-25,-60.0,0-25%
USA/CA-ALSR-1267/2020,2020-04-27,-56.0,0-25%
USA/CA-ALSR-1288/2020,2020-04-30,-50.0,25-50%
USA/CA-ALSR-1000-SAN/2020,2020-04-21,-58.0,0-25%
USA/CA-ALSR-1207/2020,2020-04-23,-58.0,0-25%
USA/CA-ALSR-1201/2020,2020-04-23,-58.0,0-25%
USA/CA-SR0351/2020,2020-04-27,-56.0,0-25%
USA/CA-ALSR-1556/2020,2020-05-12,-49.0,25-50%
USA/CA-ALSR-1391/2020,2020-05-06,-49.0,25-50%
USA/CA-ALSR-0535-SAN/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-1915/2020,2020-04-20,-59.0,0-25%
USA/CA-ALSR-1214/2020,2020-04-23,-58.0,0-25%
USA/CA-ALSR-1196/2020,2020-04-23,-58.0,0-25%
USA/CA-ALSR-1309/2020,2020-05-10,-50.0,25-50%
USA/CA-ALSR-1760/2020,2020-05-12,-49.0,25-50%
USA/CA-ALSR-1204/2020,2020-04-23,-58.0,0-25%
USA/CA-ALSR-1926/2020,2020-07-07,-31.0,75-100%
USA/CA-ALSR-1948/2020,2020-06-25,-32.0,75-100%
USA/CA-ALSR-1943/2020,2020-07-07,-31.0,75-100%
USA/CA-ALSR-1944/2020,2020-07-07,-31.0,75-100%
USA/CA-ALSR-1935/2020,2020-07-08,-30.0,75-100%
USA/CA-ALSR-1962/2020,2020-06-25,-32.0,75-100%
USA/CA-ALSR-1044-SAN/2020,2020-06-18,-32.0,75-100%
USA/CA-ALSR-1953/2020,2020-06-24,-32.0,75-100%
USA/CA-ALSR-1104-SAN/2020,2020-06-17,-32.0,75-100%
USA/CA-ALSR-1950/2020,2020-06-24,-32.0,75-100%
USA/CA-ALSR-1938/2020,2020-07-07,-31.0,75-100%
USA/CA-ALSR-1933/2020,2020-07-08,-30.0,75-100%
USA/CA-ALSR-1946/2020,2020-07-07,-31.0,75-100%
USA/CA-ALSR-1111-SAN/2020,2020-06-20,-33.0,75-100%
USA/CA-ALSR-1107-SAN/2020,2020-06-24,-32.0,75-100%
USA/CA-ALSR-1114-SAN/2020,2020-06-24,-32.0,75-100%
USA/CA-ALSR-1971/2020,2020-06-25,-32.0,75-100%
USA/CA-ALSR-1967/2020,2020-07-08,-30.0,75-100%
USA/CA-ALSR-1930/2020,2020-07-07,-31.0,75-100%
USA/CA-ALSR-1947/2020,2020-07-08,-30.0,75-100%
USA/CA-ALSR-1118-SAN/2020,2020-06-20,-33.0,75-100%
USA/CA-ALSR-1113-SAN/2020,2020-06-22,-32.0,75-100%
USA/CA-ALSR-1117-SAN/2020,2020-06-22,-32.0,75-100%
USA/CA-ALSR-1115-SAN/2020,2020-06-22,-32.0,75-100%
USA/CA-ALSR-1108-SAN/2020,2020-06-24,-32.0,75-100%
USA/CA-ALSR-1112-SAN/2020,2020-06-21,-34.0,75-100%
USA/CA-ALSR-1970/2020,2020-06-25,-32.0,75-100%
USA/CA-ALSR-1954/2020,2020-06-24,-32.0,75-100%
USA/CA-ALSR-1960/2020,2020-06-24,-32.0,75-100%
USA/CA-ALSR-1076-SAN/2020,2020-06-21,-34.0,75-100%
USA/CA-ALSR-1066-SAN/2020,2020-06-21,-34.0,75-100%
USA/CA-ALSR-1924/2020,2020-07-07,-31.0,75-100%
USA/CA-ALSR-1925/2020,2020-07-07,-31.0,75-100%
USA/CA-ALSR-1928/2020,2020-07-07,-31.0,75-100%
USA/CA-ALSR-1110-SAN/2020,2020-06-17,-32.0,75-100%
USA/CA-ALSR-1929/2020,2020-07-07,-31.0,75-100%
USA/CA-ALSR-1939/2020,2020-07-07,-31.0,75-100%
USA/CA-ALSR-1090-SAN/2020,2020-06-14,-33.0,75-100%
USA/CA-ALSR-1945/2020,2020-07-07,-31.0,75-100%
USA/CA-ALSR-1927/2020,2020-07-07,-31.0,75-100%
USA/CA-ALSR-1093-SAN/2020,2020-06-17,-32.0,75-100%
USA/CA-ALSR-1085-SAN/2020,2020-06-22,-32.0,75-100%
USA/CA-ALSR-1951/2020,2020-06-24,-32.0,75-100%
USA/CA-ALSR-1957/2020,2020-06-25,-32.0,75-100%
USA/CA-ALSR-1961/2020,2020-06-25,-32.0,75-100%
USA/CA-ALSR-1955/2020,2020-06-25,-32.0,75-100%
USA/CA-ALSR-1959/2020,2020-06-25,-32.0,75-100%
USA/CA-ALSR-1952/2020,2020-06-24,-32.0,75-100%
USA/CA-ALSR-1963/2020,2020-06-24,-32.0,75-100%
USA/CA-ALSR-1941/2020,2020-06-24,-32.0,75-100%
USA/CA-ALSR-1940/2020,2020-06-24,-32.0,75-100%
USA/CA-ALSR-1583/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-1256/2020,2020-05-05,-47.0,50-75%
USA/CA-ALSR-1153/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-1038-SAN/2020,2020-06-20,-33.0,75-100%
USA/CA-ALSR-1735/2020,2020-05-17,-50.0,25-50%
USA/CA-SR0383/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-0582-SAN/2020,2020-04-14,-45.0,50-75%
USA/CA-ALSR-1193/2020,2020-04-27,-56.0,0-25%
USA/CA-CSMC68/2020,2020-03-27,-45.0,50-75%
USA/CA-SR0232/2020,2020-04-20,-59.0,0-25%
USA/CA-ALSR-1398/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-1282/2020,2020-04-30,-50.0,25-50%
USA/CA-ALSR-1518/2020,2020-05-12,-49.0,25-50%
USA/CA-ALSR-1975/2020,2020-04-21,-58.0,0-25%
USA/CA-ALSR-1239/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-1065-SAN/2020,2020-06-21,-34.0,75-100%
USA/CA-ALSR-1410/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-1102-SAN/2020,2020-06-17,-32.0,75-100%
USA/CA-ALSR-1415/2020,2020-04-20,-59.0,0-25%
USA/CA-SR0233/2020,2020-04-24,-58.0,0-25%
USA/CA-ALSR-0585-SAN/2020,2020-04-14,-45.0,50-75%
USA/CA-ALSR-1014-SAN/2020,2020-04-18,-62.0,0-25%
USA/CA-ALSR-1004-SAN/2020,2020-04-16,-58.0,0-25%
USA/CA-CZB-2509/2020,2020-05-17,-49.0,25-50%
USA/CA-CZB-2520/2020,2020-05-18,-44.0,50-75%
USA/CA-CZB-2508/2020,2020-05-18,-44.0,50-75%
USA/CA-CZB-2507/2020,2020-05-19,-43.0,50-75%
USA/CA-CZB-2521/2020,2020-05-02,-55.0,25-50%
USA/CA-CZB-2504/2020,2020-05-14,-48.0,25-50%
USA/CA-CDPH036/2020,2020-06-24,-5.0,75-100%
USA/CA-CZB-2506/2020,2020-05-14,-48.0,25-50%
USA/CA-ALSR-1866/2020,2020-05-19,-46.0,50-75%
USA/CA-ALSR-1081-SAN/2020,2020-06-22,-32.0,75-100%
USA/CA-ALSR-1264/2020,2020-05-06,-49.0,25-50%
USA/CA-ALSR-1898/2020,2020-04-21,-58.0,0-25%
